1,41
3,1
4,23
5,2
6,19
7,39
8,1
9,14
10,64
11,2
12,2
13,100
14,6
15,5
16,281
17,23
18,7
19,169
20,3
21,92
22,3
23,69
24,8
25,12
26,3
27,18
28,1
29,25
30,2
31,1
32,28
33,7
34,2
35,34
37,9
39,9
40,2
41,115
42,10
43,23
44,3
46,61
47,4
48,51
49,3
50,13
52,35
53,3
54,77
55,2
56,17
57,3
58,27
59,6
60,26
61,3
63,42
65,12
66,7
69,25
70,2
72,64
73,2
74,27
75,4
76,1
77,8
78,2
79,14
81,11
82,1
83,3
84,5
85,3
86,10
87,2
88,2
90,12
92,21
94,2
95,4
96,20
97,2
98,30
99,3
100,16
102,17
103,3
104,13
106,2
108,2
109,11
110,1
111,8
112,1
113,2
114,6
116,20
117,2
118,28
119,4
120,30
121,2
122,3
123,6
124,11
126,7
127,15
128,20
129,129
130,4
131,3
133,104
135,2
137,4
138,5
140,7
141,1
142,14
143,9
147,28
148,3
149,10
