@RELATION dummy2

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE pokemonId numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {+1,-1}

@DATA
rJPwtutY,1470887803,0,1,48.8458453375,2.3424158743,23,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BJ-vwtdYF,1470887934,0,1,48.8531215996,2.3520614637,129,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r1GwwFdtK,1470888147,0,1,48.8501891671,2.3454084661,48,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
S1gss9_FF,1470887857,0,1,48.9715771317,2.1942899353,32,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1isjF_FK,1470888141,0,1,48.8769658956,2.3206503929,129,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ryeGSu_YY,1470887884,0,1,48.8915330057,2.2926756597,111,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1frddYK,1470887801,0,1,48.9010218432,2.3063588923,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HywSqdYY,1470887865,0,1,48.8406303784,2.2847089035,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1vH9uKF,1470887794,0,1,48.8536566822,2.286196504,79,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SyXBvquYF,1470887925,0,1,49.4789148177,8.4610944493,79,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryggscdtY,1470888260,0,1,48.8922608191,2.3926994755,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BkQlKduFK,1470887806,0,1,50.0811459124,8.2453097077,58,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rkE-NFdKK,1470887817,0,1,48.9059564697,2.3350702067,127,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
B1UbEYdFY,1470887865,0,1,48.9014291651,2.3448108292,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
S1Zqcq_tt,1470887792,0,1,48.8649697051,2.3497053506,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rJX99cdtK,1470888284,0,1,48.8670958013,2.3534838081,54,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Hkb999uFt,1470887908,0,1,48.8671769917,2.3378529525,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HkoqcdFY,1470888304,0,1,48.8717890383,2.3315568063,17,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r1o99OFt,1470888229,0,1,48.8812681102,2.3530774231,98,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Bkgj55uYY,1470888221,0,1,48.8862765899,2.342855465,69,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
BJfU__FY,1470887860,0,1,48.8673625238,2.747832084,116,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SkDUdOtF,1470887815,0,1,48.8641600993,2.3275052841,120,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rybp3OOtY,1470887805,0,1,49.4613595207,1.0752738735,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
rJIlaFdYt,1470887847,0,1,48.8656534168,2.2961134273,10,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1llptOtY,1470887995,0,1,48.8602094394,2.2969012436,23,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1ZpKdFF,1470888129,0,1,48.8637029551,2.3267653298,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJbTt_FF,1470887886,0,1,48.8590310796,2.3243630703,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HyxRAOdYt,1470887960,0,1,48.8418108462,2.2806839822,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
B16QFOFt,1470887815,0,1,45.4459401067,8.6171414206,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ByG-NFdKY,1470887989,0,1,48.8768374244,2.3387370067,96,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJlZEtdKF,1470887836,0,1,48.8706202447,2.3348864509,133,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BkwNFdYY,1470887787,0,1,48.8884649008,2.3783011272,124,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SylEM5_YY,1470887953,0,1,48.8137627273,2.6958846604,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
