@RELATION apiData

@ATTRIBUTE _id string
@ATTRIBUTE source string
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE appearedOn string
@ATTRIBUTE __v numeric
@ATTRIBUTE class {122, 99, 97, 73, 143, 117, 18, 138, 33, 147, 22, 30, 114, 85, 49, 95, 121, 127, 123, 137, 61, 5, 9, 78, 103, 119, 140, 8, 142, 15, 59, 133, 58, 20, 13, 111, 19, 21, 41, 46, 72, 16, 74, 129, 98, 4, 10, 17, 60, 54, 63, 120, 50, 48, 69, 75, 29, 43, 118, 23, 1, 14, 92, 100, 7, 116, 11, 81, 102, 90, 32, 53, 27, 42, 47, 77, 56, 131, 149, 25, 79, 52, 128, 104, 84, 57, 35, 86, 39, 44, 34, 24, 96, 124, 109, 55, 66, 31, 6, 88, 26, 126, 37, 113, 130, 65, 83, 148, 106, 70, 94, 87, 28, 3, 110, 76, 135, 112, 82, 141, 40, 108, 12}

@DATA
57c92f926ffa1ace02c48f01,POKESNIPER,22.411684,40.791931,1472802777000,0,122
57c92f926ffa1ace02c48f02,POKESNIPER,-122.441549,37.775157,1472802784000,0,99
57c92f926ffa1ace02c48f03,POKESNIPER,14.030339,50.684582,1472802794000,0,97
57c92f926ffa1ace02c48f04,POKESNIPER,151.199544,-33.871224,1472802801000,0,73
57c92f926ffa1ace02c48f05,POKESNIPER,151.207102,-33.859318,1472802804000,0,143
57c92f926ffa1ace02c48f06,POKESNIPER,-74.007198,40.718725,1472802818000,0,117
57c92f926ffa1ace02c48f07,POKESNIPER,-119.029218,35.426861,1472802827000,0,18
57c92f926ffa1ace02c48f08,POKESNIPER,-99.199814,19.411314,1472802849000,0,138
57c92f926ffa1ace02c48f09,POKESNIPER,-83.92087,9.857945,1472802856000,0,33
57c92f926ffa1ace02c48f0a,POKESNIPER,151.199635,-33.871647,1472802870000,0,147
57c92f926ffa1ace02c48f0b,POKESNIPER,2.372269,48.882607,1472802907000,0,22
57c92f926ffa1ace02c48f0c,POKESNIPER,-73.98507,40.761295,1472802874000,0,30
57c92f926ffa1ace02c48f0d,POKESNIPER,2.248309,41.451997,1472802925000,0,114
57c92f926ffa1ace02c48f0e,POKESNIPER,139.69006,35.690639,1472802930000,0,85
57c92f926ffa1ace02c48f0f,POKESNIPER,114.020135,22.441249,1472802909000,0,49
57c92f926ffa1ace02c48f10,POKESNIPER,-74.018399,40.708029,1472802932000,0,95
57c92f926ffa1ace02c48f11,POKESNIPER,151.201729,-33.868343,1472802941000,0,121
57c92f926ffa1ace02c48f13,POKESNIPER,110.811566,-7.561497,1472803000000,0,127
57c92f926ffa1ace02c48f14,POKESNIPER,-74.009401,40.721432,1472803044000,0,123
57c92f926ffa1ace02c48f12,POKESNIPER,114.172313,22.280784,1472802979000,0,137
57c92f926ffa1ace02c48f15,POKESNIPER,-74.016563,40.706919,1472803014000,0,61
57c92f926ffa1ace02c48f16,POKESNIPER,113.965123,22.383981,1472803045000,0,5
57c92f926ffa1ace02c48f17,POKESNIPER,121.520719,25.054582,1472803085000,0,9
57c92f926ffa1ace02c48f18,POKESNIPER,106.818621,-6.401949,1472803092000,0,78
57c92f926ffa1ace02c48f19,POKESNIPER,-73.952101,40.797885,1472803100000,0,103
57c92f926ffa1ace02c48f1a,POKESNIPER,-0.074022,51.501721,1472803101000,0,18
57c92f926ffa1ace02c48f1b,POKESNIPER,151.202275,-33.875996,1472803124000,0,119
57c92f926ffa1ace02c48f1c,POKESNIPER,114.190519,22.338075,1472803128000,0,140
57c92f926ffa1ace02c48f1d,POKESNIPER,-74.018583,40.704655,1472803133000,0,8
57c92f926ffa1ace02c48f1e,POKESNIPER,114.112303,22.37012,1472803156000,0,142
57c92f926ffa1ace02c48f1f,POKESNIPER,114.02348,22.203703,1472803167000,0,33
57c92f926ffa1ace02c48f20,POKESNIPER,103.823573,1.342655,1472803181000,0,15
57c92f926ffa1ace02c48f21,POKESNIPER,151.200272,-33.873966,1472803181000,0,147
57c92f926ffa1ace02c48f22,POKESNIPER,-99.193237,19.408333,1472803189000,0,59
57c92f926ffa1ace02c48f23,POKESNIPER,-73.969091,40.771141,1472803214000,0,127
57c92f926ffa1ace02c48f24,POKESNIPER,114.188104,22.370803,1472803259000,0,61
57c92f926ffa1ace02c48f25,POKESNIPER,-1.066213,53.573325,1472803284000,0,18
57c92f926ffa1ace02c48f26,POKESNIPER,4.336239,51.90935,1472803306000,0,122
57c92f926ffa1ace02c48f27,POKESNIPER,114.025525,22.442059,1472803411000,0,140
57c92f926ffa1ace02c48f28,POKESNIPER,-73.97405,40.774392,1472803411000,0,22
57c92f926ffa1ace02c48f29,POKESNIPER,114.026082,22.443106,1472803424000,0,147
57c92fab691d56d302ad0997,POKERADAR,-158.022832362927,21.3971045551346,1472802030000,0,133
57c92fab691d56d302ad0998,POKERADAR,-158.019758316494,21.3825719682375,1472802107000,0,58
57c92fab691d56d302ad0999,POKERADAR,-158.030843528197,21.3412263581047,1472802201000,0,20
57c92fab691d56d302ad099a,POKERADAR,-158.025161187971,21.3858699400972,1472801856000,0,13
57c92fab691d56d302ad099b,POKERADAR,-158.178587393019,21.4274725418414,1472801903000,0,111
57c92fab691d56d302ad099c,POKERADAR,-158.028421545889,21.3866694009348,1472801963000,0,127
57c92fab691d56d302ad099d,POKERADAR,-158.015566439852,21.3172657966711,1472802115000,0,19
57c92fab691d56d302ad099e,POKERADAR,-158.078072529509,21.329151850956,1472802091000,0,58
57c92fab691d56d302ad099f,POKERADAR,-158.022459751079,21.4957484141055,1472801974000,0,13
57c92fab691d56d302ad09a0,POKERADAR,-158.021155609956,21.4962745761554,1472801944000,0,133
57c92fab691d56d302ad09a1,POKERADAR,-158.008673143943,21.4447265976268,1472801846000,0,21
57c92fab691d56d302ad09a3,POKERADAR,-158.018081565162,21.5023783486145,1472801964000,0,41
57c92fab691d56d302ad09a2,POKERADAR,-158.030936681399,21.341768276039,1472802080000,0,46
57c92fac691d56d302ad09a4,POKERADAR,-157.84845559961,21.3027909900548,1472801841000,0,41
57c92fac691d56d302ad09a5,POKERADAR,-157.833831638736,21.2780442449627,1472801936000,0,72
57c92fac691d56d302ad09a6,POKERADAR,-157.829733222315,21.2797702220906,1472801956000,0,16
57c92fac691d56d302ad09a7,POKERADAR,-157.830757825654,21.2790303875874,1472801875000,0,74
57c92fac691d56d302ad09a8,POKERADAR,-157.870810893017,21.3162683774132,1472801984000,0,16
57c92fac691d56d302ad09a9,POKERADAR,-157.857025,21.294279,1472801868000,0,129
57c92fac691d56d302ad09aa,POKERADAR,-157.870811,21.316533,1472801932000,0,16
57c92fac691d56d302ad09ab,POKERADAR,-157.802721140315,21.2700555465833,1472801960000,0,98
57c92fac691d56d302ad09ac,POKERADAR,-157.848456,21.302791,1472801841000,0,41
57c92fac691d56d302ad09ad,POKERADAR,-157.833552,21.27827,1472801880000,0,98
